Category,Subcategory,Statement,Current State,Future State
People,Team collaboration,Communication - Our team communicates effectively both internally with each other and externally with our clients and partners,FALSE,FALSE
People,Team collaboration,"Information Exchange - Our team has quick,secure and efficient access to company information at all times",FALSE,FALSE
People,Team collaboration,Team Work - Our team uses company processes to work together efficiently on projects,FALSE,FALSE
People,Team collaboration,Remote Access - Our teams are able to communicate quickly and efficiently while working from inside or out of the offi ce,FALSE,FALSE
People,Team collaboration,Strategic Priority - Productive Team Collaboration is a key competitive advantage,FALSE,FALSE
People,Employee productivity,Personal Productivity - We are able to capture and measure each employee productivity,FALSE,FALSE
People,Employee productivity,Time Management - Our employees manage their time and schedule effectively,FALSE,FALSE
People,Employee productivity,Priorities - Our employees effectively organize and properly prioritize their daily tasks,FALSE,FALSE
People,Employee productivity,Self-Improvement - Our employees continually learn and develop their skills and talents,FALSE,FALSE
People,Employee productivity,Strategic Priority - Employee productivity is a key competitive advantage,FALSE,FALSE
People,Remote work readiness,Equipment - Our employees are equipped towork remotely as effectively as they can work from the company offices,FALSE,FALSE
People,Remote work readiness,Accountability - Our remote employees are accountable and their progress is measured and reported regularly,FALSE,FALSE
People,Remote work readiness,"External Collaboration - Our partners, clients and vendors can work with us as easily as internal employees",FALSE,FALSE
People,Remote work readiness,Culture - We introduce and develop best practices for all employees who work remotely,FALSE,FALSE
People,Remote work readiness,Strategic Priority - Our ability to work remotely is a competitive advantage,FALSE,FALSE
Processes,Processes,Documentation - Key company processes and workflows are documented and consistently updated,FALSE,FALSE
Processes,Processes,"Measurement - KPIs in each department are measured, review against performance goals daily/weekly/monthly",FALSE,FALSE
Processes,Processes,"Improvement - It is the responsibility of everyone in our company to consistently utilize,support and evaluate key company processes",FALSE,FALSE
Processes,Processes,"Accountability - Our processes are constantly reviewed, modified and further developed by the process owners",FALSE,FALSE
Processes,Processes,Strategic Priority - Our process development and execution is a competitive advantage,FALSE,FALSE
Processes,Projects,"Planning - Our team effectively manages project scope, project planning and project budget management",FALSE,FALSE
Processes,Projects,"Execution - Our projects consistently finish as planned: on time, on budget and within project scope",FALSE,FALSE
Processes,Projects, Accountability - Our projects team members held accountable for their project work,FALSE,FALSE
Processes,Projects,Change Management - Our project processes allow teams to efficiently enforce change management policies,FALSE,FALSE
Processes,Projects,Strategic Priority - The delivery of projects to our clients is a key competitive advantage,FALSE,FALSE
Processes,Digital automation,Automation - Our team automates repetitive processes to be able to focus on higher value work,FALSE,FALSE
Processes,Digital automation,Integration - Our team consistently identifies integration opportunities between different applications and systems,FALSE,FALSE
Processes,Digital automation,Emerging Technologies - Our team leverages artificial intelligence technologies to increase efficiency,FALSE,FALSE
Processes,Digital automation,Improvement - We consistently look for process automation opportunities and automate processes as much as possible,FALSE,FALSE
Processes,Digital automation,Strategic Priority - The automation of tasks and processes are key competitive advantages,FALSE,FALSE
Platform,Social media platforms,"Business Development - Our business development team is active and highly skilled in leveraging social media for PR, Marketing andSales",FALSE,FALSE
Platform,Social media platforms,Clients - Our team utilizes tools and consistent programs to engage clients through social media,FALSE,FALSE
Platform,Social media platforms,Team - Our team successfully uses social media to interact and build a strong culture within our organization,FALSE,FALSE
Platform,Social media platforms,Governance - Our team understands the important differences between the personal and business uses of social media,FALSE,FALSE
Platform,Social media platforms,Strategic Priority - Our use of social media is a key competitive advantage,FALSE,FALSE
Platform,eCommerce platforms,Sales - Our team uses best-in-class(B2B/B2C/C2C) platforms to market and sell our products and services,FALSE,FALSE
Platform,eCommerce platforms,Services - Our clients find our eCommerce platform easy to navigate and easy to use,FALSE,FALSE
Platform,eCommerce platforms,Distribution - Our company is using digital platforms to generate and distribute products and services,FALSE,FALSE
Platform,eCommerce platforms,Procurement - Our company leverages business purchasing platforms for effective procurement,FALSE,FALSE
Platform,eCommerce platforms,Strategic Priority - Our use of eCommerce platforms is a key competitive advantage,FALSE,FALSE
Platform,Service platforms,Finance - Our people utilize electronic bankingand financial platforms to achieve better cashflows and customer experience,FALSE,FALSE
Platform,Service platforms,HR - Our team leverages electronic HR platforms to hire internal and external resources,FALSE,FALSE
Platform,Service platforms,Operations - Our company leverages industry specific platforms to support operations,FALSE,FALSE
Platform,Service platforms,"Education -Our team utilizes education, training and self learning platforms for employee development",FALSE,FALSE
Platform,Service platforms,Strategic Priority - Our use of Service platforms is a key competitive advantage,FALSE,FALSE
Application,Discovering applications,"Review - Our team has a process to review current applications utilization, education need,upgrades, new functions and integrations",FALSE,FALSE
Application,Discovering applications,Requirements - Our team always defines the requirements before purchasing a software solution,FALSE,FALSE
Application,Discovering applications,"Evaluation - Our team has a formal process to evaluate, test and select applications",FALSE,FALSE
Application,Discovering applications,Roadmap - Our team has an application implementation roadmap to plan and execute application modernization,FALSE,FALSE
Application,Discovering applications,"Strategic Priority - The ability to discover, select and implement new applications is a key competitive advantage",FALSE,FALSE
Application,Implementing applications,Plan - Our team plans application implementations with stakeholders and key users,FALSE,FALSE
Application,Implementing applications,Business Process - Our people plan application processes to fit into current company workfl ows,FALSE,FALSE
Application,Implementing applications,Implementation Process - Our people manage application implementations as critical processes might disrupt normal operation,FALSE,FALSE
